Interval,Vc=150 Cutting,Vc=150 No Cutting,Vc=1200 Cutting,Vc=1200 No Cutting
intv1,1852.9483123126327,346.76977556044733,2211.844047673864,470.5162844855151
intv2,1843.127737084752,359.3132459531746,2112.6580531357135,452.8900764517406
intv3,1868.3256542461145,375.94557272119295,2036.7074306709223,442.16186950224443
intv4,1909.130715880637,398.432173154806,1777.7782531284306,437.532947722005
intv5,1927.7008609048914,428.76522529119853,1892.4394175813004,429.6468872979686
intv6,1972.6104784904303,460.2237407623944,1827.2813376190293,427.21005148581554
intv7,2011.8383214986554,494.36884612957243,1755.2508337979318,424.9713246948454
intv8,2043.5872791207685,544.7787119481015,1681.1880853141008,422.50256641205107
intv9,2089.7494284821364,592.8831931937272,1608.0511211863177,421.39525571168
intv10,2158.0940971197897,656.5263295134114,1534.0428306057836,421.449713614977
intv11,2224.9320970995605,726.7770247664571,1462.3015260525249,420.0813974681738
intv12,2322.556965076532,809.7527167565531,1388.5963354058363,419.51765186983994
